Beam energy dependence of higher moments of net-charge multiplity 
distributions in Au+Au collisions at RHIC

Fig.1                                                                                                                 
(Efficiency corrected Mean, Std. Deviation, skewness and kurtosis for different 
centralities for different energies) 


Mean                                                                                    

AuAu 200 GeV

Npart    Mean    Stat.Err    Sys.Err
232.08     0.151259      0.0387305     0.043959
296.71     0.121506      0.06425     0.041573
344.4     0.145121      0.067052     0.0899881
                                        
Au+Au 39 GeV

Npart    S*sigma    Stat.Err    Sys.Err
14.07     0.103698      0.00674335     0.0388556
26.23     0.120725      0.00834709     0.0414987
45.25     0.133428      0.0110493     0.0271913
72.86     0.146095      0.0138311     0.0566733
110.54     0.152351      0.0180996     0.0310994
160.87     0.126102      0.0219442     0.0377511
227.72     0.154979      0.0272474     0.0531892
291.95     0.173763      0.04521     0.0611324
341.76     0.0133622      0.0501263     0.033736
                                        
Au+Au 27 GeV

Npart    S*sigma    Stat.Err    Sys.Err
13.43     0.124164      0.00965298     0.00534643
26.06     0.171256      0.0127286     0.00852715
45.43     0.145077      0.0169978     0.00479039
72.93     0.153544      0.0208082     0.00693275
110.87     0.160268      0.0263755     0.0210577
161.17     0.178879      0.0324232     0.0162408
227.42     0.172343      0.0413878     0.0138738
291.78     0.217359      0.0669722     0.0449049
340.96     0.107052      0.0750091     0.0562664
                                        
Au+Au 19.6 GeV

Npart    S*sigma    Stat.Err    Sys.Err
17.96     0.204636      0.0113238     0.00967549
31.43     0.241769      0.0156932     0.0124886
51.21     0.243364      0.0197958     0.0116616
79.93     0.261619      0.02514     0.0134549
117.86     0.268559      0.0307174     0.0148551
167.02     0.298413      0.0386456     0.0202606
232.41     0.304059      0.0482327     0.0129731
293.93     0.213072      0.0811831     0.063171
340.67     0.283159      0.09437     0.0777163
                                        
Au+Au 11.5 GeV

Npart    S*sigma    Stat.Err    Sys.Err
14.044     0.321615      0.0291255     0.0610068
25.59     0.321074      0.0365373     0.025858
44.32     0.485319      0.04352     0.0196993
71.92     0.428563      0.0566037     0.105112
109.3     0.54174      0.0756452     0.0548431
158.38     0.401607      0.093102     0.118645
224.29     0.521228      0.10916     0.0666113
288.74     0.308067      0.186709     0.101739
338.42     0.503508      0.208217     0.174109
                                        
Au+Au 7.7 GeV

Npart    S*sigma    Stat.Err    Sys.Err
13.85     0.472407      0.0347691     0.0137378
25.62     0.614188      0.0414094     0.0213581
44.56     0.701903      0.0535769     0.035696
71.36     0.823661      0.0675281     0.0433325
109.02     0.620568      0.0792107     0.0714578
160.94     0.681516      0.102386     0.0576727
226.64     0.580418      0.127632     0.173798
290.41     0.527878      0.208154     0.0966224
337.36     0.443332      0.237605     0.215502



Baseline values Skewness*St.Deviation
__________________________________________________________________________


Au+Au 200 GeV

Npart    NBD    Poisson
14.96    0.0307338    0.00717921
27.43    0.033656    0.00746191
47.21    0.0299238    0.00794995
76.93    0.033157    0.00815375
116.73    0.0288841    0.00837599
169.02    0.0261129    0.00847687
237.26    0.0233511    0.00854045
302.22    0.0217549    0.00879415
349.67    0.0138754    0.00919266

Au+Au 62.4 GeV

Npart    NBD    Poisson
13.78    0.0674433    0.0154511
26.56    0.0794806    0.0172174
46.26    0.0900043    0.0191268
75.08    0.0893029    0.0206983
113.49    0.0920037    0.0220943
164.59    0.093279    0.0233067
232.08    0.0797211    0.0243416
296.71    0.0823706    0.0250887
344.4    0.069852    0.0255998


Au+Au 39 GeV

Npart    NBD    Poisson
14.07    0.103799    0.0224682
26.23    0.116972    0.0258824
45.25    0.130107    0.028855
72.86    0.130854    0.0315082
110.54    0.13306    0.0338268
160.87    0.126447    0.0357823
227.72    0.118295    0.0373916
291.95    0.104312    0.0385174
341.76    0.0768153    0.0392905

Au+Au 27 GeV

Npart    NBD    Poisson
13.43    0.136668    0.0265044
26.06    0.155104    0.0312203
45.43    0.165701    0.0360665
72.93    0.170528    0.0403449
110.87    0.183523    0.0440559
161.17    0.176999    0.0472056
227.42    0.161646    0.050148
291.78    0.149983    0.0521217
340.96    0.111871    0.053256

Au+Au 19.6 GeV

Npart    NBD    Poisson
17.96    0.189537    0.0468747
31.43    0.213723    0.0530577
51.21    0.248095    0.0580047
79.93    0.25984    0.0623793
117.86    0.263722    0.06631
167.02    0.263835    0.0695139
232.41    0.253555    0.0720823
293.93    0.233049    0.0738327
340.67    0.168042    0.0749629

Au+Au 11.5 GeV

Npart    NBD    Poisson
14.044    0.299105    0.0648058
25.59    0.380355    0.0756715
44.32    0.419736    0.0854334
71.92    0.443709    0.0956534
109.3    0.44756    0.104121
158.38    0.435944    0.11068
224.29    0.42622    0.115806
288.74    0.427411    0.11957
338.42    0.290953    0.121136


Au+Au 7.7 GeV
Npart    NBD    Poisson
13.85    0.425598    0.109716
25.62    0.565855    0.114324
44.56    0.667483    0.131948
71.36    0.701911    0.148456
109.02    0.739761    0.160475
